"RoomCode","LocationCount","DepartmentCount","FACount","Departments","FAs","Locations"
"OSC14","1","1","1","104 (SPINAL CORD INJURY / DISORDERS CENTER (SCI/D))","SCI/D CENTER OUTPATIENT (OP) PATIENT AREA","104 (SPINAL CORD INJURY / DISORDERS CENTER (SCI/D)) | SCI/D CENTER OUTPATIENT (OP) PATIENT AREA"
"CT082","1","1","1","270 (PHYSICAL MEDICINE AND REHABILITATION SERVICE)","OCCUPATIONAL THERAPY (OT) AREA","270 (PHYSICAL MEDICINE AND REHABILITATION SERVICE) | OCCUPATIONAL THERAPY (OT) AREA"
"CT035","1","1","1","270 (PHYSICAL MEDICINE AND REHABILITATION SERVICE)","PHYSICAL THERAPY (PT) AREA","270 (PHYSICAL MEDICINE AND REHABILITATION SERVICE) | PHYSICAL THERAPY (PT) AREA"
"TNPF2","1","1","1","263 (COMMUNITY BASED OUTPATIENT CLINIC (PACT) INTERIM)","LOBBY / RECEPTION AREA","263 (COMMUNITY BASED OUTPATIENT CLINIC (PACT) INTERIM) | LOBBY / RECEPTION AREA"
"CT081","1","1","1","270 (PHYSICAL MEDICINE AND REHABILITATION SERVICE)","OCCUPATIONAL THERAPY (OT) AREA","270 (PHYSICAL MEDICINE AND REHABILITATION SERVICE) | OCCUPATIONAL THERAPY (OT) AREA"
"SC801","1","1","1","278 (RESEARCH AND DEVELOPMENT (R&D))","VMU SUPPORT AREA","278 (RESEARCH AND DEVELOPMENT (R&D)) | VMU SUPPORT AREA"
"CL421","1","1","1","240 (PATHOLOGY AND LABORATORY MEDICINE SERVICE)","ANATOMICAL PATHOLOGY WORK AREA","240 (PATHOLOGY AND LABORATORY MEDICINE SERVICE) | ANATOMICAL PATHOLOGY WORK AREA"
"SV548","1","1","1","268 (PHARMACY SERVICE)","INPATIENT PHARMACY STERILE PREPARATION AREA","268 (PHARMACY SERVICE) | INPATIENT PHARMACY STERILE PREPARATION AREA"
"SC605","1","1","1","248 (MEDICAL MEDIA SERVICE)","PHOTOGRAPHY SERVICE PRODUCTION AREA","248 (MEDICAL MEDIA SERVICE) | PHOTOGRAPHY SERVICE PRODUCTION AREA"
"CI088","2","2","2","256 (EMERGENCY DEPARTMENT (ED)); 295 (IMAGING SERVICES)","EMERGENCY IMAGING AREA; COMPUTED TOMOGRAPHY (CT) AREA","256 (EMERGENCY DEPARTMENT (ED)) | EMERGENCY IMAGING AREA; 295 (IMAGING SERVICES) | COMPUTED TOMOGRAPHY (CT) AREA"
"CI042","1","1","1","295 (IMAGING SERVICES)","GENERAL RADIOLOGY AREA","295 (IMAGING SERVICES) | GENERAL RADIOLOGY AREA"
"SRS01","2","1","2","263 (COMMUNITY BASED OUTPATIENT CLINIC (PACT) INTERIM)","MENTAL HEALTH CLINIC; PATHOLOGY AND LABORATORY MEDICINE (PLM) SERVICE","263 (COMMUNITY BASED OUTPATIENT CLINIC (PACT) INTERIM) | MENTAL HEALTH CLINIC; 263 (COMMUNITY BASED OUTPATIENT CLINIC (PACT) INTERIM) | PATHOLOGY AND LABORATORY MEDICINE (PLM) SERVICE"
"IMH51","1","1","1","110 (MENTAL HEALTH PATIENT CARE UNIT (MH PCU))","PATIENT CARE UNIT (PCU) PATIENT COMMON AREA","110 (MENTAL HEALTH PATIENT CARE UNIT (MH PCU)) | PATIENT CARE UNIT (PCU) PATIENT COMMON AREA"
"SV653","1","1","1","206 (VETERANS CANTEEN SERVICE (VCS))","FOOD COURT SUPPORT AREA","206 (VETERANS CANTEEN SERVICE (VCS)) | FOOD COURT SUPPORT AREA"
"CGE14","1","1","1","287 (GASTROINTESTINAL / ENDOSCOPY SERVICE)","PATIENT AREA","287 (GASTROINTESTINAL / ENDOSCOPY SERVICE) | PATIENT AREA"
"CL231","1","1","1","240 (PATHOLOGY AND LABORATORY MEDICINE SERVICE)","CLINICAL PATHOLOGY WORK AREA","240 (PATHOLOGY AND LABORATORY MEDICINE SERVICE) | CLINICAL PATHOLOGY WORK AREA"
"SC051","2","2","2","104 (SPINAL CORD INJURY / DISORDERS CENTER (SCI/D)); 110 (MENTAL HEALTH PATIENT CARE UNIT (MH PCU))","SCI/D CENTER LONG TERM CARE HOME (LTC-H) RESIDENT AREA; PATIENT CARE UNIT (PCU) SUPPORT AREA","104 (SPINAL CORD INJURY / DISORDERS CENTER (SCI/D)) | SCI/D CENTER LONG TERM CARE HOME (LTC-H) RESIDENT AREA; 110 (MENTAL HEALTH PATIENT CARE UNIT (MH PCU)) | PATIENT CARE UNIT (PCU) SUPPORT AREA"
"CEE11","1","1","1","226 (ELECTROENCEPHALOGRAPHY (EEG) LABORATORY)","PATIENT AREA","226 (ELECTROENCEPHALOGRAPHY (EEG) LABORATORY) | PATIENT AREA"
"SV551","1","1","1","268 (PHARMACY SERVICE)","INPATIENT PHARMACY SUPPORT AREA","268 (PHARMACY SERVICE) | INPATIENT PHARMACY SUPPORT AREA"
"ISC28","1","1","1","104 (SPINAL CORD INJURY / DISORDERS CENTER (SCI/D))","SCI/D CENTER ACUTE CARE PATIENT CARE UNIT (AC-PCU) COMMON AREA","104 (SPINAL CORD INJURY / DISORDERS CENTER (SCI/D)) | SCI/D CENTER ACUTE CARE PATIENT CARE UNIT (AC-PCU) COMMON AREA"
"CT011","1","1","1","270 (PHYSICAL MEDICINE AND REHABILITATION SERVICE)","PMR SVC COMMON PATIENT AREA","270 (PHYSICAL MEDICINE AND REHABILITATION SERVICE) | PMR SVC COMMON PATIENT AREA"
"CAS64","1","1","1","204 (AUDIOLOGY AND SPEECH-LANGUAGE PATHOLOGY (ASLP) SERVICE)","SPEECH-LANGUAGE PATHOLOGY PATIENT AREA","204 (AUDIOLOGY AND SPEECH-LANGUAGE PATHOLOGY (ASLP) SERVICE) | SPEECH-LANGUAGE PATHOLOGY PATIENT AREA"
"IPT41","1","1","1","111 (POLYTRAUMA REHABILITATION CENTER (PRC))","PRC PATIENT CARE UNIT THERAPY AREA","111 (POLYTRAUMA REHABILITATION CENTER (PRC)) | PRC PATIENT CARE UNIT THERAPY AREA"
"ISC52","1","1","1","104 (SPINAL CORD INJURY / DISORDERS CENTER (SCI/D))","SCI/D CENTER ACUTE CARE / OUTPATIENT PHYSICAL THERAPY (AC/OP-PT) AREA","104 (SPINAL CORD INJURY / DISORDERS CENTER (SCI/D)) | SCI/D CENTER ACUTE CARE / OUTPATIENT PHYSICAL THERAPY (AC/OP-PT) AREA"
"SC016","2","1","2","286 (SURGICAL / ENDOVASCULAR SERVICES)","INPATIENT (IP) SURGICAL / ENDOVASCULAR CLEAN CORE AREA; AMBULATORY SURGERY CENTER (ASC) CLEAN CORE AREA","286 (SURGICAL / ENDOVASCULAR SERVICES) | INPATIENT (IP) SURGICAL / ENDOVASCULAR CLEAN CORE AREA; 286 (SURGICAL / ENDOVASCULAR SERVICES) | AMBULATORY SURGERY CENTER (ASC) CLEAN CORE AREA"
"OSC71","1","1","1","104 (SPINAL CORD INJURY / DISORDERS CENTER (SCI/D))","SCI SPOKE AREA","104 (SPINAL CORD INJURY / DISORDERS CENTER (SCI/D)) | SCI SPOKE AREA"
"SB291","5","4","5","104 (SPINAL CORD INJURY / DISORDERS CENTER (SCI/D)); 256 (EMERGENCY DEPARTMENT (ED)); 257 (URGENT CARE); 312 (MENTAL HEALTH RESIDENT CARE UNIT (MH RCU))","SCI/D CENTER RECEPTION AREA; RECEPTION / PUBLIC AREA; AMBULANCE / EMS AREA; SECURITY / POLICE AREA; RECEPTION AREA","104 (SPINAL CORD INJURY / DISORDERS CENTER (SCI/D)) | SCI/D CENTER RECEPTION AREA; 256 (EMERGENCY DEPARTMENT (ED)) | RECEPTION / PUBLIC AREA; 256 (EMERGENCY DEPARTMENT (ED)) | AMBULANCE / EMS AREA; 257 (URGENT CARE) | SECURITY / POLICE AREA; 312 (MENTAL HEALTH RESIDENT CARE UNIT (MH RCU)) | RECEPTION AREA"
"CS231","2","1","2","286 (SURGICAL / ENDOVASCULAR SERVICES)","INPATIENT (IP) SURGICAL / ENDOVASCULAR CLEAN CORE AREA; AMBULATORY SURGERY CENTER (ASC) CLEAN CORE AREA","286 (SURGICAL / ENDOVASCULAR SERVICES) | INPATIENT (IP) SURGICAL / ENDOVASCULAR CLEAN CORE AREA; 286 (SURGICAL / ENDOVASCULAR SERVICES) | AMBULATORY SURGERY CENTER (ASC) CLEAN CORE AREA"
"RMH87","1","1","1","312 (MENTAL HEALTH RESIDENT CARE UNIT (MH RCU))","RESIDENT CARE UNIT (RCU) SUPPORT AREA","312 (MENTAL HEALTH RESIDENT CARE UNIT (MH RCU)) | RESIDENT CARE UNIT (RCU) SUPPORT AREA"
"RCA01","3","1","3","263 (COMMUNITY BASED OUTPATIENT CLINIC (PACT) INTERIM)","PATIENT ALIGNED CARE TEAM (PACT) CLINIC 1; PATIENT ALIGNED CARE TEAM (PACT) CLINIC 2; PATIENT ALIGNED CARE TEAM (PACT) CLINIC 3","263 (COMMUNITY BASED OUTPATIENT CLINIC (PACT) INTERIM) | PATIENT ALIGNED CARE TEAM (PACT) CLINIC 1; 263 (COMMUNITY BASED OUTPATIENT CLINIC (PACT) INTERIM) | PATIENT ALIGNED CARE TEAM (PACT) CLINIC 2; 263 (COMMUNITY BASED OUTPATIENT CLINIC (PACT) INTERIM) | PATIENT ALIGNED CARE TEAM (PACT) CLINIC 3"
"SV648","1","1","1","206 (VETERANS CANTEEN SERVICE (VCS))","FOOD COURT SUPPORT AREA","206 (VETERANS CANTEEN SERVICE (VCS)) | FOOD COURT SUPPORT AREA"
"IST39","1","1","1","104 (SPINAL CORD INJURY / DISORDERS CENTER (SCI/D))","SCI/D CENTER SUPPORT AREA","104 (SPINAL CORD INJURY / DISORDERS CENTER (SCI/D)) | SCI/D CENTER SUPPORT AREA"
"SC704","1","1","1","278 (RESEARCH AND DEVELOPMENT (R&D))","BLR&D SERVICE RESEARCH AREA","278 (RESEARCH AND DEVELOPMENT (R&D)) | BLR&D SERVICE RESEARCH AREA"
"CAS81","1","1","1","204 (AUDIOLOGY AND SPEECH-LANGUAGE PATHOLOGY (ASLP) SERVICE)","SPEECH-LANGUAGE PATHOLOGY SUPPORT AREA","204 (AUDIOLOGY AND SPEECH-LANGUAGE PATHOLOGY (ASLP) SERVICE) | SPEECH-LANGUAGE PATHOLOGY SUPPORT AREA"
"CEY66","1","1","1","233 (EYE CLINIC: OPHTHALMOLOGY AND OPTOMETRY SERVICES)","OPTOMETRY SERVICE PATIENT AREA","233 (EYE CLINIC: OPHTHALMOLOGY AND OPTOMETRY SERVICES) | OPTOMETRY SERVICE PATIENT AREA"
"TNPM2","1","1","1","263 (COMMUNITY BASED OUTPATIENT CLINIC (PACT) INTERIM)","LOBBY / RECEPTION AREA","263 (COMMUNITY BASED OUTPATIENT CLINIC (PACT) INTERIM) | LOBBY / RECEPTION AREA"
"CL251","1","1","1","240 (PATHOLOGY AND LABORATORY MEDICINE SERVICE)","CLINICAL PATHOLOGY WORK AREA","240 (PATHOLOGY AND LABORATORY MEDICINE SERVICE) | CLINICAL PATHOLOGY WORK AREA"
"CDL73","1","1","1","316 (DIALYSIS CENTER)","SUPPORT AREA","316 (DIALYSIS CENTER) | SUPPORT AREA"
"SV385","1","1","1","312 (MENTAL HEALTH RESIDENT CARE UNIT (MH RCU))","RESIDENT NUTRITION AND FOOD SERVICE AREA","312 (MENTAL HEALTH RESIDENT CARE UNIT (MH RCU)) | RESIDENT NUTRITION AND FOOD SERVICE AREA"
"SV366","1","1","1","110 (MENTAL HEALTH PATIENT CARE UNIT (MH PCU))","PATIENT CARE UNIT (PCU) PATIENT COMMON AREA","110 (MENTAL HEALTH PATIENT CARE UNIT (MH PCU)) | PATIENT CARE UNIT (PCU) PATIENT COMMON AREA"
"CPL12","1","1","1","212 (PULMONARY MEDICINE SERVICE)","BRONCHOSCOPY PATIENT AREA","212 (PULMONARY MEDICINE SERVICE) | BRONCHOSCOPY PATIENT AREA"
"CL296","1","1","1","240 (PATHOLOGY AND LABORATORY MEDICINE SERVICE)","CLINICAL PATHOLOGY WORK AREA","240 (PATHOLOGY AND LABORATORY MEDICINE SERVICE) | CLINICAL PATHOLOGY WORK AREA"
"CI411","1","1","1","295 (IMAGING SERVICES)","IMAGING SERVICES ACADEMIC EDUCATION AREA","295 (IMAGING SERVICES) | IMAGING SERVICES ACADEMIC EDUCATION AREA"
"TNPF1","1","1","1","263 (COMMUNITY BASED OUTPATIENT CLINIC (PACT) INTERIM)","LOBBY / RECEPTION AREA","263 (COMMUNITY BASED OUTPATIENT CLINIC (PACT) INTERIM) | LOBBY / RECEPTION AREA"
"SB148","3","2","3","110 (MENTAL HEALTH PATIENT CARE UNIT (MH PCU)); 312 (MENTAL HEALTH RESIDENT CARE UNIT (MH RCU))","PATIENT CARE UNIT (PCU) PATIENT AREA; CLINICAL EVALUATION AREA; FA 4 RESIDENT CARE UNIT (RCU) PATIENT AREA","110 (MENTAL HEALTH PATIENT CARE UNIT (MH PCU)) | PATIENT CARE UNIT (PCU) PATIENT AREA; 312 (MENTAL HEALTH RESIDENT CARE UNIT (MH RCU)) | CLINICAL EVALUATION AREA; 312 (MENTAL HEALTH RESIDENT CARE UNIT (MH RCU)) | FA 4 RESIDENT CARE UNIT (RCU) PATIENT AREA"
"CT121","1","1","1","270 (PHYSICAL MEDICINE AND REHABILITATION SERVICE)","DRIVER TRAINING (DT) AREA","270 (PHYSICAL MEDICINE AND REHABILITATION SERVICE) | DRIVER TRAINING (DT) AREA"
"SC459","1","1","1","406 (ENVIRONMENTAL MANAGEMENT SERVICE (EMS) ADMINISTRATION)","SUPPORT AREA","406 (ENVIRONMENTAL MANAGEMENT SERVICE (EMS) ADMINISTRATION) | SUPPORT AREA"
"CT387","1","1","1","269 (RECREATION THERAPY SERVICE)","AQUATIC THERAPY AREA","269 (RECREATION THERAPY SERVICE) | AQUATIC THERAPY AREA"
"CED26","1","1","1","256 (EMERGENCY DEPARTMENT (ED))","PATIENT AREA","256 (EMERGENCY DEPARTMENT (ED)) | PATIENT AREA"
"CT364","1","1","1","269 (RECREATION THERAPY SERVICE)","SELF-DIRECTED THERAPY AREA","269 (RECREATION THERAPY SERVICE) | SELF-DIRECTED THERAPY AREA"
"CDS65","1","1","1","222 (DENTAL SERVICE)","DENTAL LABORATORIES","222 (DENTAL SERVICE) | DENTAL LABORATORIES"
"SC674","1","1","1","248 (MEDICAL MEDIA SERVICE)","MMVSS AUDIOVISUAL SERVICE PRODUCTION AREA","248 (MEDICAL MEDIA SERVICE) | MMVSS AUDIOVISUAL SERVICE PRODUCTION AREA"
"SC779","1","1","1","278 (RESEARCH AND DEVELOPMENT (R&D))","VMU ANIMAL AREA","278 (RESEARCH AND DEVELOPMENT (R&D)) | VMU ANIMAL AREA"
"SC553","1","1","1","400 (LIBRARY SERVICE)","PATIENT EDUCATION RESOURCE CENTER (PERC)","400 (LIBRARY SERVICE) | PATIENT EDUCATION RESOURCE CENTER (PERC)"
"SC812","1","1","1","278 (RESEARCH AND DEVELOPMENT (R&D))","CSR&D SERVICE STAFF AREA","278 (RESEARCH AND DEVELOPMENT (R&D)) | CSR&D SERVICE STAFF AREA"
"SB174","10","6","10","104 (SPINAL CORD INJURY / DISORDERS CENTER (SCI/D)); 269 (RECREATION THERAPY SERVICE); 270 (PHYSICAL MEDICINE AND REHABILITATION SERVICE); 285 (STERILE PROCESSING SERVICE); 286 (SURGICAL / ENDOVASCULAR SERVICES); ""410 (ENVIRONMENTAL MANAGEMENT SERVICE (EMS) LOCKERS, LOUNGES, TOILETS AND SHOWERS)""","SCI/D CENTER ACUTE CARE (AC) STAFF AND ADMINISTRATIVE AREA; SCI/D CENTER LONG TERM CARE (LTC) STAFF AND ADMINISTRATIVE AREA; SCI/D CENTER OUTPATIENT (OP) STAFF AND ADMINISTRATIVE AREA; SCI/D CENTER AQUATIC THERAPY (AT) AREA; AQUATIC THERAPY AREA; AQUATIC THERAPY (AT) AREA; STAFF AND ADMINISTRATIVE AREA; INPATIENT (IP) SURGICAL / ENDOVASCULAR STAFF AND ADMINISTRATIVE AREA; AMBULATORY SURGERY CENTER (ASC) STAFF AND ADMINISTRATIVE AREA; TOILET AND SHOWER AREA","104 (SPINAL CORD INJURY / DISORDERS CENTER (SCI/D)) | SCI/D CENTER ACUTE CARE (AC) STAFF AND ADMINISTRATIVE AREA; 104 (SPINAL CORD INJURY / DISORDERS CENTER (SCI/D)) | SCI/D CENTER LONG TERM CARE (LTC) STAFF AND ADMINISTRATIVE AREA; 104 (SPINAL CORD INJURY / DISORDERS CENTER (SCI/D)) | SCI/D CENTER OUTPATIENT (OP) STAFF AND ADMINISTRATIVE AREA; 104 (SPINAL CORD INJURY / DISORDERS CENTER (SCI/D)) | SCI/D CENTER AQUATIC THERAPY (AT) AREA; 269 (RECREATION THERAPY SERVICE) | AQUATIC THERAPY AREA; 270 (PHYSICAL MEDICINE AND REHABILITATION SERVICE) | AQUATIC THERAPY (AT) AREA; 285 (STERILE PROCESSING SERVICE) | STAFF AND ADMINISTRATIVE AREA; 286 (SURGICAL / ENDOVASCULAR SERVICES) | INPATIENT (IP) SURGICAL / ENDOVASCULAR STAFF AND ADMINISTRATIVE AREA; 286 (SURGICAL / ENDOVASCULAR SERVICES) | AMBULATORY SURGERY CENTER (ASC) STAFF AND ADMINISTRATIVE AREA; ""410 (ENVIRONMENTAL MANAGEMENT SERVICE (EMS) LOCKERS, LOUNGES, TOILETS AND SHOWERS)"" | TOILET AND SHOWER AREA"
"CT059","1","1","1","270 (PHYSICAL MEDICINE AND REHABILITATION SERVICE)","KINESIOTHERAPY (KT) AREA","270 (PHYSICAL MEDICINE AND REHABILITATION SERVICE) | KINESIOTHERAPY (KT) AREA"
"SB199","5","4","4","212 (PULMONARY MEDICINE SERVICE); 256 (EMERGENCY DEPARTMENT (ED)); 257 (URGENT CARE); 269 (RECREATION THERAPY SERVICE)","PULMONARY MEDICINE / RESPIRATORY CARE PATIENT AREA; SLEEP STUDY PATIENT AREA; PATIENT ASSESSMENT AREA; SELF-DIRECTED THERAPY AREA","212 (PULMONARY MEDICINE SERVICE) | PULMONARY MEDICINE / RESPIRATORY CARE PATIENT AREA; 212 (PULMONARY MEDICINE SERVICE) | SLEEP STUDY PATIENT AREA; 256 (EMERGENCY DEPARTMENT (ED)) | PATIENT ASSESSMENT AREA; 257 (URGENT CARE) | PATIENT ASSESSMENT AREA; 269 (RECREATION THERAPY SERVICE) | SELF-DIRECTED THERAPY AREA"
"CED38","1","1","1","256 (EMERGENCY DEPARTMENT (ED))","PATIENT AREA","256 (EMERGENCY DEPARTMENT (ED)) | PATIENT AREA"
"SB707","2","2","2","234 (FISCAL SERVICE); 246 (HEALTH ADMINISTRATION SERVICE)","SUPPORT AREA; WARD ADMINISTRATION SECTION (WAS)","234 (FISCAL SERVICE) | SUPPORT AREA; 246 (HEALTH ADMINISTRATION SERVICE) | WARD ADMINISTRATION SECTION (WAS)"
"SB258","8","4","6","256 (EMERGENCY DEPARTMENT (ED)); 257 (URGENT CARE); 258 (WOMEN VETERANS CLINICAL SERVICE (WVCS) (FOR MODELS 2 AND 3)); 269 (RECREATION THERAPY SERVICE)","RECEPTION / PUBLIC AREA; STAFF WORK AREA; EMERGENCY IMAGING AREA; AMBULANCE / EMS AREA; SUPPORT AREA; RECEPTION AREA","256 (EMERGENCY DEPARTMENT (ED)) | RECEPTION / PUBLIC AREA; 256 (EMERGENCY DEPARTMENT (ED)) | STAFF WORK AREA; 256 (EMERGENCY DEPARTMENT (ED)) | EMERGENCY IMAGING AREA; 256 (EMERGENCY DEPARTMENT (ED)) | AMBULANCE / EMS AREA; 257 (URGENT CARE) | RECEPTION / PUBLIC AREA; 257 (URGENT CARE) | STAFF WORK AREA; 258 (WOMEN VETERANS CLINICAL SERVICE (WVCS) (FOR MODELS 2 AND 3)) | SUPPORT AREA; 269 (RECREATION THERAPY SERVICE) | RECEPTION AREA"
"CDS71","1","1","1","222 (DENTAL SERVICE)","DENTAL LABORATORIES","222 (DENTAL SERVICE) | DENTAL LABORATORIES"
"CCD71","1","1","1","210 (CARDIOLOGY SERVICE)","CARDIOLOGY SUPPORT AREA","210 (CARDIOLOGY SERVICE) | CARDIOLOGY SUPPORT AREA"
"CAS67","1","1","1","204 (AUDIOLOGY AND SPEECH-LANGUAGE PATHOLOGY (ASLP) SERVICE)","AUDIOLOGY SUPPORT AREA","204 (AUDIOLOGY AND SPEECH-LANGUAGE PATHOLOGY (ASLP) SERVICE) | AUDIOLOGY SUPPORT AREA"
"TRPR1","4","1","4","263 (COMMUNITY BASED OUTPATIENT CLINIC (PACT) INTERIM)","PATIENT ALIGNED CARE TEAM (PACT) CLINIC 1; PATIENT ALIGNED CARE TEAM (PACT) CLINIC 2; PATIENT ALIGNED CARE TEAM (PACT) CLINIC 3; MULTI-SPECIALTY CLINIC","263 (COMMUNITY BASED OUTPATIENT CLINIC (PACT) INTERIM) | PATIENT ALIGNED CARE TEAM (PACT) CLINIC 1; 263 (COMMUNITY BASED OUTPATIENT CLINIC (PACT) INTERIM) | PATIENT ALIGNED CARE TEAM (PACT) CLINIC 2; 263 (COMMUNITY BASED OUTPATIENT CLINIC (PACT) INTERIM) | PATIENT ALIGNED CARE TEAM (PACT) CLINIC 3; 263 (COMMUNITY BASED OUTPATIENT CLINIC (PACT) INTERIM) | MULTI-SPECIALTY CLINIC"
"SV627","1","1","1","206 (VETERANS CANTEEN SERVICE (VCS))","COFFEE SHOP AREA","206 (VETERANS CANTEEN SERVICE (VCS)) | COFFEE SHOP AREA"
"SV007","1","1","1","208 (CHAPLAIN SERVICE)","PRE-ASSEMBLY AREA","208 (CHAPLAIN SERVICE) | PRE-ASSEMBLY AREA"
