Chapter	FA Number	Functional Area	VARF Code	Legacy Code
102	8	Education Area	RPT52	CLR01
102	8	Education Area	SS205	OFA09
102	8	Education Area	SS218	OFA07
106	1	Calculation Area		
106	2	House Reception Area	HOUSE RECEPTION AREA	EQUIP_FA
106	3	House Resident Area	HOUSE RESIDENT AREA	EQUIP_FA
106	4	House Support Area	HOUSE SUPPORT AREA	EQUIP_FA
106	5	House Staff And Administrative Area	HOUSE STAFF AND ADMINISTRATIVE AREA	EQUIP_FA
106	6	Neighborhood Center Reception Area	NEIGHBORHOOD CENTER RECEPTION AREA	EQUIP_FA
106	7	Neighborhood Center Resident Area	NEIGHBORHOOD CENTER RESIDENT AREA	EQUIP_FA
106	8	Neighborhood Center Support Area	NEIGHBORHOOD CENTER SUPPORT AREA	EQUIP_FA
106	9	Community Center Reception Area	COMMUNITY CENTER RECEPTION AREA	EQUIP_FA
106	10	Community Center Resident Area	COMMUNITY CENTER RESIDENT AREA	EQUIP_FA
106	11	Community Center Support Area	COMMUNITY CENTER SUPPORT AREA	EQUIP_FA
106	12	Community Center Staff And Administrative Area	COMMUNITY CENTER STAFF AND ADMINISTRATIVE AREA	EQUIP_FA
110	1	Patient Care Unit (PCU) Reception Area	SC148	CALC1
110	2	Patient Care Unit (PCU) Staff-Patient Area	SB003	WRC01
110	2	Patient Care Unit (PCU) Staff-Patient Area	SV422	OFDC2
110	2	Patient Care Unit (PCU) Staff-Patient Area	TLTU1	TLTU1
110	3	Patient Care Unit (PCU) Patient Area	BRNP2	BRNP2
110	3	Patient Care Unit (PCU) Patient Area	BRNP5	BRNP5
110	3	Patient Care Unit (PCU) Patient Area	BRNP6	BRNP6
110	3	Patient Care Unit (PCU) Patient Area	NULR1	NULR1
110	3	Patient Care Unit (PCU) Patient Area	OCB31	EXRG3
110	3	Patient Care Unit (PCU) Patient Area	OPMH1	OPMH1
110	3	Patient Care Unit (PCU) Patient Area	RSH02	LOB02
110	3	Patient Care Unit (PCU) Patient Area	RSH11	BRNP1
110	3	Patient Care Unit (PCU) Patient Area	RSH62	DAYR1
110	3	Patient Care Unit (PCU) Patient Area	SB711	SRPB1
110	3	Patient Care Unit (PCU) Patient Area	SHWR2	SHWR2
110	3	Patient Care Unit (PCU) Patient Area	SV272	NCWD1
110	3	Patient Care Unit (PCU) Patient Area	SV422	OFDC2
110	3	Patient Care Unit (PCU) Patient Area	SV678	FSCD1
110	3	Patient Care Unit (PCU) Patient Area	TLTP1	TLTP1
110	3	Patient Care Unit (PCU) Patient Area	TLTP3	TLTP3
110	4	Patient Care Unit (PCU) Patient Common Area	COMC1	COMC1
110	4	Patient Care Unit (PCU) Patient Common Area	FSCS1	FSCS1
110	4	Patient Care Unit (PCU) Patient Common Area	FSPT1	FSPT1
110	4	Patient Care Unit (PCU) Patient Common Area	MEDP1	MEDP1
110	4	Patient Care Unit (PCU) Patient Common Area	SB261	SRLW2
110	4	Patient Care Unit (PCU) Patient Common Area	SB267	UTR01
110	4	Patient Care Unit (PCU) Patient Common Area	SB737	UCCL1
110	4	Patient Care Unit (PCU) Patient Common Area	SB743	USCL1
110	4	Patient Care Unit (PCU) Patient Common Area	SC007	RCA01
110	4	Patient Care Unit (PCU) Patient Common Area	SC440	UTLC1
110	4	Patient Care Unit (PCU) Patient Common Area	SC471	LCCL1
110	4	Patient Care Unit (PCU) Patient Common Area	SC474	UTC01
110	4	Patient Care Unit (PCU) Patient Common Area	SRGC2	SRGC2
110	4	Patient Care Unit (PCU) Patient Common Area	SRSE1	SRSE1
110	4	Patient Care Unit (PCU) Patient Common Area	SV549	JANC1
110	4	Patient Care Unit (PCU) Patient Common Area	SV648	SRS01
110	4	Patient Care Unit (PCU) Patient Common Area	PATIENT CARE UNIT (PCU) SUPPORT AREA	EQUIP_FA
110	5	Patient Care Unit (PCU) Support Area	SC251	NSTA1
110	5	Patient Care Unit (PCU) Support Area	SC648	CRA01
110	5	Patient Care Unit (PCU) Support Area	SS212	WRCH1
110	5	Patient Care Unit (PCU) Support Area	SS218	OFA07
110	5	Patient Care Unit (PCU) Support Area	SS287	DUTY1
110	5	Patient Care Unit (PCU) Support Area	TLTS1	TLTS1
110	5	Patient Care Unit (PCU) Support Area	STAFF AND ADMINISTRATIVE AREA	EQUIP_FA
110	6	Patient Care Unit (PCU) Clinical Staff Area	SS205	OFA09
110	6	Patient Care Unit (PCU) Clinical Staff Area	SS218	OFA07
110	6	Patient Care Unit (PCU) Clinical Staff Area	SS262	SL001
110	6	Patient Care Unit (PCU) Clinical Staff Area	SS282	LR001
110	6	Patient Care Unit (PCU) Clinical Staff Area	SV422	OFDC2
110	6	Patient Care Unit (PCU) Clinical Staff Area	TLTU1	TLTU1
110	6	Patient Care Unit (PCU) Clinical Staff Area	ACADEMIC EDUCATION AREA	EQUIP_FA
110	6	Patient Care Unit (PCU) Clinical Staff Area	PATIENT CARE UNIT (PCU) CLINICAL STAFF AREA	EQUIP_FA
110	7	Staff And Administrative Area	OPT16	CRA02
110	7	Staff And Administrative Area	SL002	SL002
110	7	Staff And Administrative Area	SS205	OFA09
110	7	Staff And Administrative Area	PATIENT CARE UNIT (PCU) PATIENT AREA	EQUIP_FA
110	8	Academic Education Area	PATIENT CARE UNIT (PCU) PATIENT COMMON AREA	EQUIP_FA
111	1	PRC Patient Care Unit Reception Area	BX001	BX001
111	1	PRC Patient Care Unit Reception Area	RECP1	RECP1
111	1	PRC Patient Care Unit Reception Area	SB003	WRC01
111	1	PRC Patient Care Unit Reception Area	SB086	WRF01
111	1	PRC Patient Care Unit Reception Area	SB117	LOB01
111	1	PRC Patient Care Unit Reception Area	TLTB1	TLTB1
111	1	PRC Patient Care Unit Reception Area	OUTPATIENT UNIT RECEPTION AREA	EQUIP_FA
111	1	PRC Patient Care Unit Reception Area	PRC PATIENT CARE UNIT RECEPTION AREA	EQUIP_FA
111	1	PRC Patient Care Unit Reception Area	PRC RESIDENT CARE UNIT RECEPTION AREA	EQUIP_FA
111	2	PRC Patient Care Unit Patient Area	IPT01	BRMS1
111	2	PRC Patient Care Unit Patient Area	IPT03	BRIT1
111	2	PRC Patient Care Unit Patient Area	IPT04	BRAR1
111	2	PRC Patient Care Unit Patient Area	SHWR2	SHWR2
111	2	PRC Patient Care Unit Patient Area	TLTS4	TLTS4
111	2	PRC Patient Care Unit Patient Area	PRC PATIENT CARE UNIT PATIENT AREA	EQUIP_FA
111	3	PRC Patient Care Unit Support Area	IPT18	RCA02
111	3	PRC Patient Care Unit Support Area	MEDP1	MEDP1
111	3	PRC Patient Care Unit Support Area	SB737	UCCL1
111	3	PRC Patient Care Unit Support Area	SB743	USCL1
111	3	PRC Patient Care Unit Support Area	SC007	RCA01
111	3	PRC Patient Care Unit Support Area	SC251	NSTA1
111	3	PRC Patient Care Unit Support Area	SC471	LCCL1
111	3	PRC Patient Care Unit Support Area	SRE01	SRE01
111	3	PRC Patient Care Unit Support Area	SS212	WRCH1
111	3	PRC Patient Care Unit Support Area	SS218	OFA07
111	3	PRC Patient Care Unit Support Area	SV272	NCWD1
111	3	PRC Patient Care Unit Support Area	SV549	JANC1
111	3	PRC Patient Care Unit Support Area	OUTPATIENT UNIT SUPPORT AREA	EQUIP_FA
111	3	PRC Patient Care Unit Support Area	PRC PATIENT CARE UNIT SUPPORT AREA	EQUIP_FA
111	3	PRC Patient Care Unit Support Area	PRC RESIDENT CARE UNIT SUPPORT AREA	EQUIP_FA
111	3	PRC Patient Care Unit Support Area	PRC STAFF AND ADMINISTRATIVE AREA	EQUIP_FA
111	4	PRC Patient Care Unit Patient And Family Area	IPT31	CLR09
111	4	PRC Patient Care Unit Patient And Family Area	OPT16	CRA02
111	4	PRC Patient Care Unit Patient And Family Area	RPT33	PRD01
111	4	PRC Patient Care Unit Patient And Family Area	RSH41	LAUN1
111	4	PRC Patient Care Unit Patient And Family Area	RSH62	DAYR1
111	4	PRC Patient Care Unit Patient And Family Area	SB711	SRPB1
111	4	PRC Patient Care Unit Patient And Family Area	SC164	IPK01
111	4	PRC Patient Care Unit Patient And Family Area	SRE01	SRE01
111	4	PRC Patient Care Unit Patient And Family Area	SS091	PLAY1
111	4	PRC Patient Care Unit Patient And Family Area	SV422	OFDC2
111	4	PRC Patient Care Unit Patient And Family Area	TLTU1	TLTU1
111	4	PRC Patient Care Unit Patient And Family Area	PRC PATIENT CARE UNIT PATIENT AND FAMILY AREA	EQUIP_FA
111	4	PRC Patient Care Unit Patient And Family Area	PRC RESIDENT CARE UNIT RESIDENT AND FAMILY SUPPORT AREA	EQUIP_FA
111	5	PRC Patient Care Unit Therapy Area	EXOS1	EXOS1
111	5	PRC Patient Care Unit Therapy Area	IPT41	PRGY1
111	5	PRC Patient Care Unit Therapy Area	IPT51	PRRT1
111	5	PRC Patient Care Unit Therapy Area	IPT61	PRDL1
111	5	PRC Patient Care Unit Therapy Area	IPT71	PRNT1
111	5	PRC Patient Care Unit Therapy Area	OPT48	PRTM1
111	5	PRC Patient Care Unit Therapy Area	PRAT1	PRAT1
111	5	PRC Patient Care Unit Therapy Area	PRRE1	PRRE1
111	5	PRC Patient Care Unit Therapy Area	RPT43	PREV1
111	5	PRC Patient Care Unit Therapy Area	RPT52	CLR01
111	5	PRC Patient Care Unit Therapy Area	SRE01	SRE01
111	5	PRC Patient Care Unit Therapy Area	SS218	OFA07
111	5	PRC Patient Care Unit Therapy Area	SV422	OFDC2
111	5	PRC Patient Care Unit Therapy Area	SV549	JANC1
111	5	PRC Patient Care Unit Therapy Area	SV648	SRS01
111	5	PRC Patient Care Unit Therapy Area	TLTU1	TLTU1
111	5	PRC Patient Care Unit Therapy Area	WRTM1	WRTM1
111	5	PRC Patient Care Unit Therapy Area	PRC PATIENT CARE UNIT THERAPY AREA	EQUIP_FA
111	6	PRC Patient Care Unit Staff And Administrative Area	OPT16	CRA02
111	6	PRC Patient Care Unit Staff And Administrative Area	SHWR1	SHWR1
111	6	PRC Patient Care Unit Staff And Administrative Area	SS203	OFA04
111	6	PRC Patient Care Unit Staff And Administrative Area	SS205	OFA09
111	6	PRC Patient Care Unit Staff And Administrative Area	SS218	OFA07
111	6	PRC Patient Care Unit Staff And Administrative Area	SS262	SL001
111	6	PRC Patient Care Unit Staff And Administrative Area	SS282	LR001
111	6	PRC Patient Care Unit Staff And Administrative Area	TLTU1	TLTU1
111	6	PRC Patient Care Unit Staff And Administrative Area	WRTM1	WRTM1
111	6	PRC Patient Care Unit Staff And Administrative Area	OUTPATIENT UNIT STAFF AND ADMINISTRATIVE AREA	EQUIP_FA
111	6	PRC Patient Care Unit Staff And Administrative Area	PRC PATIENT CARE UNIT STAFF AND ADMINISTRATIVE AREA	EQUIP_FA
111	6	PRC Patient Care Unit Staff And Administrative Area	PRC RESIDENT CARE UNIT STAFF AND ADMINISTRATIVE AREA	EQUIP_FA
111	7	PRC Resident Care Unit Reception Area	RECP1	RECP1
111	7	PRC Resident Care Unit Reception Area	SB003	WRC01
111	7	PRC Resident Care Unit Reception Area	SB086	WRF01
111	7	PRC Resident Care Unit Reception Area	SB117	LOB01
111	7	PRC Resident Care Unit Reception Area	TLTB1	TLTB1
111	8	PRC Resident Care Unit Resident Unit Area	RPT01	BRPT3
111	8	PRC Resident Care Unit Resident Unit Area	RPT11	PRAP1
111	8	PRC Resident Care Unit Resident Unit Area	RPT12	BRPT1
111	8	PRC Resident Care Unit Resident Unit Area	RPT14	PRC03
111	8	PRC Resident Care Unit Resident Unit Area	SRE01	SRE01
111	8	PRC Resident Care Unit Resident Unit Area	TLTS3	TLTS3
111	8	PRC Resident Care Unit Resident Unit Area	TLTS4	TLTS4
111	8	PRC Resident Care Unit Resident Unit Area	PRC RESIDENT CARE UNIT RESIDENT UNIT AREA	EQUIP_FA
111	9	PRC Resident Care Unit Support Area	MEDP1	MEDP1
111	9	PRC Resident Care Unit Support Area	NSTA6	NSTA6
111	9	PRC Resident Care Unit Support Area	SB737	UCCL1
111	9	PRC Resident Care Unit Support Area	SB743	USCL1
111	9	PRC Resident Care Unit Support Area	SC007	RCA01
111	9	PRC Resident Care Unit Support Area	SC471	LCCL1
111	9	PRC Resident Care Unit Support Area	SRE01	SRE01
111	9	PRC Resident Care Unit Support Area	SRSE1	SRSE1
111	9	PRC Resident Care Unit Support Area	SS218	OFA07
111	9	PRC Resident Care Unit Support Area	SV549	JANC1
111	10	PRC Resident Care Unit Resident And Family Support Area	RPT33	PRD01
111	10	PRC Resident Care Unit Resident And Family Support Area	RPT35	PRK01
111	10	PRC Resident Care Unit Resident And Family Support Area	RSH41	LAUN1
111	10	PRC Resident Care Unit Resident And Family Support Area	RSH62	DAYR1
111	11	PRC Resident Care Unit Therapy Area	RPT41	PRGY2
111	11	PRC Resident Care Unit Therapy Area	RPT43	PREV1
111	11	PRC Resident Care Unit Therapy Area	RPT52	CLR01
111	11	PRC Resident Care Unit Therapy Area	RPT54	PRAT2
111	11	PRC Resident Care Unit Therapy Area	SV422	OFDC2
111	11	PRC Resident Care Unit Therapy Area	SV648	SRS01
111	11	PRC Resident Care Unit Therapy Area	WRTM1	WRTM1
111	11	PRC Resident Care Unit Therapy Area	PRC RESIDENT CARE UNIT THERAPY AREA	EQUIP_FA
111	12	PRC Resident Care Unit Staff And Administrative Area	EXOS1	EXOS1
111	12	PRC Resident Care Unit Staff And Administrative Area	OFD05	OFD05
111	12	PRC Resident Care Unit Staff And Administrative Area	OPT16	CRA02
111	12	PRC Resident Care Unit Staff And Administrative Area	SS205	OFA09
111	12	PRC Resident Care Unit Staff And Administrative Area	SS262	SL001
111	12	PRC Resident Care Unit Staff And Administrative Area	SS282	LR001
111	12	PRC Resident Care Unit Staff And Administrative Area	TLTU1	TLTU1
111	13	Outpatient Unit Reception Area	RECP1	RECP1
111	13	Outpatient Unit Reception Area	RECP4	RECP4
111	13	Outpatient Unit Reception Area	RSH62	DAYR1
111	13	Outpatient Unit Reception Area	SB003	WRC01
111	13	Outpatient Unit Reception Area	TLTB1	TLTB1
111	14	Outpatient Unit Patient Area	OPT14	PTBT1
111	14	Outpatient Unit Patient Area	OPT15	PRP01
111	14	Outpatient Unit Patient Area	OPT16	CRA02
111	14	Outpatient Unit Patient Area	OPT17	WRTM2
111	14	Outpatient Unit Patient Area	PTEM1	PTEM1
111	14	Outpatient Unit Patient Area	RSH81	EXRG0
111	14	Outpatient Unit Patient Area	SV422	OFDC2
111	14	Outpatient Unit Patient Area	OUTPATIENT UNIT PATIENT AREA	EQUIP_FA
111	15	Outpatient Unit Support Area	MEDP1	MEDP1
111	15	Outpatient Unit Support Area	NSTA4	NSTA4
111	15	Outpatient Unit Support Area	SB737	UCCL1
111	15	Outpatient Unit Support Area	SB743	USCL1
111	15	Outpatient Unit Support Area	SC007	RCA01
111	15	Outpatient Unit Support Area	SC471	LCCL1
111	15	Outpatient Unit Support Area	SRE01	SRE01
111	15	Outpatient Unit Support Area	SV549	JANC1
111	16	Outpatient Unit Therapy Area	OPT31	PRDT1
111	16	Outpatient Unit Therapy Area	OPT32	OTDL1
111	16	Outpatient Unit Therapy Area	OPT33	PTGL1
111	16	Outpatient Unit Therapy Area	OPT35	PREX1
111	16	Outpatient Unit Therapy Area	OPT36	PRGY3
111	16	Outpatient Unit Therapy Area	OPT42	PRST1
111	16	Outpatient Unit Therapy Area	OPT43	PRN01
111	16	Outpatient Unit Therapy Area	OPT44	PRV01
111	16	Outpatient Unit Therapy Area	OPT45	PRRT2
111	16	Outpatient Unit Therapy Area	OPT48	PRTM1
111	16	Outpatient Unit Therapy Area	RPT43	PREV1
111	16	Outpatient Unit Therapy Area	SRE01	SRE01
111	16	Outpatient Unit Therapy Area	SS218	OFA07
111	16	Outpatient Unit Therapy Area	SV422	OFDC2
111	16	Outpatient Unit Therapy Area	WRTM1	WRTM1
111	16	Outpatient Unit Therapy Area	OUTPATIENT UNIT THERAPY AREA	EQUIP_FA
111	17	Outpatient Unit Staff And Administrative Area	EXOS1	EXOS1
111	17	Outpatient Unit Staff And Administrative Area	OFD04	OFD04
111	17	Outpatient Unit Staff And Administrative Area	OPT16	CRA02
111	17	Outpatient Unit Staff And Administrative Area	SS203	OFA04
111	17	Outpatient Unit Staff And Administrative Area	SS205	OFA09
111	17	Outpatient Unit Staff And Administrative Area	SS218	OFA07
111	17	Outpatient Unit Staff And Administrative Area	SS262	SL001
111	17	Outpatient Unit Staff And Administrative Area	SS282	LR001
111	17	Outpatient Unit Staff And Administrative Area	TLTU1	TLTU1
111	17	Outpatient Unit Staff And Administrative Area	EDUCATION AREA	EQUIP_FA
111	18	PRC Staff And Administrative Area	OPT16	CRA02
111	18	PRC Staff And Administrative Area	SS205	OFA09
111	18	PRC Staff And Administrative Area	SS218	OFA07
111	18	PRC Staff And Administrative Area	SS272	RPR01
111	19	Education Area	RPT52	CLR01
111	19	Education Area	SS205	OFA09
111	19	Education Area	SS218	OFA07
206	1	Coffee Shop Area	SS205	OFA09
206	1	Coffee Shop Area	SS218	OFA07
206	1	Coffee Shop Area	SS262	SL001
206	1	Coffee Shop Area	SS282	LR001
206	1	Coffee Shop Area	SV696	CASH1
206	1	Coffee Shop Area	TLTU1	TLTU1
206	1	Coffee Shop Area	STAFF AND ADMINISTRATIVE AREA	EQUIP_FA
206	3	Barber / Beauty Shop	BX001	BX001
206	4	Vending Area	BX000	BX000
206	4	Vending Area	SRE01	SRE01
206	4	Vending Area	SV678	FSCD1
206	4	Vending Area	CAFETERIA DINING AREA	EQUIP_FA
206	5	Cafeteria Serving Area	CEY91	EYFD1
206	5	Cafeteria Serving Area	EYOT2	EYOT2
206	5	Cafeteria Serving Area	OPTICAL SHOP AREA	EQUIP_FA
206	6	Cafeteria Dining Area	XXYYC	XXYYC
206	7	Food Court Support Area	RER01	RER01
206	7	Food Court Support Area	SB287	SRHM1
206	7	Food Court Support Area	SC474	UTC01
206	7	Food Court Support Area	SV549	JANC1
206	7	Food Court Support Area	SV635	MMRP1
206	7	Food Court Support Area	SV648	SRS01
206	7	Food Court Support Area	SV653	FSTD1
206	7	Food Court Support Area	SV657	FSDW1
206	7	Food Court Support Area	SV663	FSPW1
206	7	Food Court Support Area	UTR02	UTR02
206	7	Food Court Support Area	FOOD COURT SUPPORT AREA	EQUIP_FA
206	8	Retail Store Area	SV674	FSSL1
206	8	Retail Store Area	CAFETERIA SERVING AREA	EQUIP_FA
206	9	Retail Concession Area	SV678	FSCD1
206	9	Retail Concession Area	BARBER / BEAUTY SHOP	EQUIP_FA
206	10	Staff And Administrative Area	BX001	BX001
206	10	Staff And Administrative Area	COFFEE SHOP AREA	EQUIP_FA
208	1	Pre-Assembly Area	SB003	WRC01
208	1	Pre-Assembly Area	TLTU1	TLTU1
208	1	Pre-Assembly Area	EDUCATION AREA	EQUIP_FA
208	2	Worship Area	RABS1	RABS1
208	2	Worship Area	RAS01	RAS01
208	2	Worship Area	SV064	RAMR1
208	2	Worship Area	PRE-ASSEMBLY AREA	EQUIP_FA
208	3	Staff And Administrative Area	SS203	OFA04
208	3	Staff And Administrative Area	SS218	OFA07
208	3	Staff And Administrative Area	SS222	SEC01
208	3	Staff And Administrative Area	SV422	OFDC2
208	3	Staff And Administrative Area	SV648	SRS01
208	3	Staff And Administrative Area	STAFF AND ADMINISTRATIVE AREA	EQUIP_FA
208	4	Support Area	SV549	JANC1
208	4	Support Area	SV648	SRS01
208	4	Support Area	SUPPORT AREA	EQUIP_FA
208	5	Education Area	RPT52	CLR01
208	5	Education Area	WORSHIP AREA	EQUIP_FA
210	1	Reception Area	RECP1	RECP1
210	1	Reception Area	RECP4	RECP4
210	1	Reception Area	SB003	WRC01
210	1	Reception Area	SC170	CLSC1
210	1	Reception Area	TLTU1	TLTU1
210	1	Reception Area	RECEPTION AREA	EQUIP_FA
210	2	Cardiology Patient Area	CCD01	OPEC1
210	2	Cardiology Patient Area	CCD06	EXRC1
210	2	Cardiology Patient Area	CCD11	EXRC2
210	2	Cardiology Patient Area	CCD21	OPPE1
210	2	Cardiology Patient Area	CCD26	OPPE2
210	2	Cardiology Patient Area	CCD31	OPTM1
210	2	Cardiology Patient Area	CCD36	OPTM2
210	2	Cardiology Patient Area	CCD56	OPHM1
210	2	Cardiology Patient Area	CRT82	XVC01
210	2	Cardiology Patient Area	SV422	OFDC2
210	2	Cardiology Patient Area	TLTU1	TLTU1
210	2	Cardiology Patient Area	CARDIOLOGY PATIENT AREA	EQUIP_FA
210	2	Cardiology Patient Area	CARDIOLOGY SUPPORT AREA	EQUIP_FA
