Chapter	FA Number	FA Name	Room ID	Room Code	Room Name	Floor	Base	Wall	Wain	Ceiling	Door	Hardware
0			1013	N/A*	Corridors (Non-Secure, Automatic Operators)	m:LVT m:SVT	"m:RB h:4"""	"m:GWB [54] f:P m:RWC h:4'-0"""		m:AT	m:Steel t:40 da:ADO dg:T (ID) s:VV [17] m:Steel t:42 da:ADO dg:T (ID) s:VV [17]	hw:12D
0			1014	N/A*	Vestibule (Aluminum Storefront, Automatic Operators)	m:MAT [74]	"m:RB h:4"""	m:GWB f:P m:CMU f:P		m:AT	m:Aluminum [30] t:40 da:ADO dg:T s:VV [17] m:Aluminum [30] t:42 da:ADO dg:T s:VV [17]	hw:8D SECTION III – ROOM FINISHES, DOOR, AND HARDWARE SCHEDULE -32 Program Guide Room Finishes, Door, & Hardware Schedule PG 18-14 July 2016 ID Rm Cde Space Name Floor Base Wall Wain Ceiling Door HW Nr
100	1	Medical / Surgical Inpatient Unit Calculation	1015	CALC1	Number of Medical / Surgical Inpatient Units							
100	2	Medical / Surgical Inpatient Unit Reception Area	1016	WRC01	Waiting	m:CPT [6] m:LVT	m:PRB [8]	m:GWB [5] f:P		m:AT	m:Wood t:1 dg:T s:S	hw:4K
100	2	Medical / Surgical Inpatient Unit Reception Area	1017	OFDC2	Consult Room	m:CPT [6]	m:PRB [8]	m:GWB [5, 64] f:P		m:AT	m:Wood t:19 dg:T s:U	hw:3G
100	2	Medical / Surgical Inpatient Unit Reception Area	1018	WRF01	Lounge, Family	m:LVT	m:PRB [8]	m:GWB [5] f:P		m:AT	m:Wood t:1 dg:T s:V	hw:4K
100	2	Medical / Surgical Inpatient Unit Reception Area	1019	NCWD1	Pantry, Family	m:LVT	"m:RB h:4"""	m:GWB f:P		m:AT	m:Wood t:19 s:S	hw:4k
100	2	Medical / Surgical Inpatient Unit Reception Area	1020	CLSC1	Patient Education / Resource Kiosk	m:CPT [6] m:LVT	m:PRB [8]	m:GWB f:P			m:AT t:OPEN	hw:N/A
100	2	Medical / Surgical Inpatient Unit Reception Area	1021	TLTU1	Toilet, Public	"m:PT m:RES [74] m:PT [7] h:4"" m:RES [7] h:4"""		m:GWB [7, 64] f:P	"m:PT [7] h:4'-0"" m:CT [7] h:4'-0"""	m:AT	m:Wood t:19 s:S	hw:2G [71]
100	2	Medical / Surgical Inpatient Unit Reception Area	1022	TLTF3	Toilet, Family	"m:PT m:RES [74] m:PT [7] h:4"" m:RES [7] h:4"""		m:GWB [7, 64] f:P	"m:PT [7] h:4'-0"" m:CT [7] h:4'-0"""	m:AT	m:Wood t:19 s:S	hw:2G [71]
100	3	Medical / Surgical Inpatient Unit Patient Area	1023	BRMS1	Patient Bedroom	m:LVT	"m:RB h:4"""	m:GWB [64] f:P		m:AT	m:Wood t:3 dg:T s:X	hw:1B
100	3	Medical / Surgical Inpatient Unit Patient Area	1024	TLTS2	Toilet / Shower, Patient	"m:PT m:RES [74] m:PT [7] h:4"" m:RES [7] h:4"""		m:GWB [7, 44, 64] f:SC	"m:PT [7] h:4'-0"" m:CT [7] h:4'-0"" m:S [7, 44] m:GWB f:SC"		m:Wood t:1 s:U	hw:2H [48]
100	3	Medical / Surgical Inpatient Unit Patient Area	1025	BRIT1	Patient Bedroom, Airborne Infection Isolation [18]	"m:WSF m:WSF h:4"""		m:GWB [18, 64] f:SC m:GWB f:SC		m:AT [9] f:SP	m:Wood t:3 [12] dg:T s:X	hw:4P
100	3	Medical / Surgical Inpatient Unit Patient Area	1026	BRAR1	Anteroom, Airborne Infection Isolation [18]	"m:WSF m:WSF h:4"""		m:GWB [18, 64] f:SC m:GWB f:SC		m:AT [9] f:SP	m:Wood t:1 [12] dg:T s:X	hw:1K
100	3	Medical / Surgical Inpatient Unit Patient Area	1027	BRIT2	Patient Bedroom, Protective Environment [18]	"m:WSF m:WSF h:4"""		m:GWB [64] f:SC m:GWB f:SC		m:AT [9] f:SP	m:Wood t:3 [12] dg:T s:X	hw:4P
100	3	Medical / Surgical Inpatient Unit Patient Area	1028	BRAR2	Anteroom, Protective Environment Isolation [18]	"m:WSF m:WSF h:4"""		m:GWB [18, 64] f:SC m:GWB f:SC		m:AT [9] f:SP	m:Wood t:1 [12] dg:T sw:[12] s:X sw:[12]	hw:1K SECTION III – ROOM FINISHES, DOOR, AND HARDWARE SCHEDULE -34 Program Guide Room Finishes, Door, & Hardware Schedule PG 18-14 July 2016 ID Rm Cde Space Name Floor Base Wall Wain Ceiling Door HW Nr
100	3	Medical / Surgical Inpatient Unit Patient Area	1029	TLTS2	Toilet / Shower, Patient Isolation	"m:PT m:RES [74] m:PT [7] h:4"" m:RES [7] h:4"""		m:GWB [7, 18, 64] f:SC	"m:PT [7] h:4'-0"" m:CT [7] h:4'-0"" m:S [7, 44] m:GWB f:SC"		m:Wood t:1 s:U	hw:2H
100	3	Medical / Surgical Inpatient Unit Patient Area	1030	BRBA1	Patient Bedroom, Bariatric / Physical Disabilities	m:LVT	"m:RB h:4"""	m:GWB f:P		m:AT	m:Wood t:3 dg:T s:X	hw:1B
100	3	Medical / Surgical Inpatient Unit Patient Area	1031	TLTB1	Toilet / Shower, Bariatric / Physical Disabilities Patient	"m:PT m:RES [74] m:PT [7] h:4"" m:RES [7] h:4"""		m:GWB [7, 44] f:SC	"m:PT [7] h:4'-0"" m:CT [7] h:4'-0"" m:S [7, 44] m:GWB f:SC"		m:Wood t:1 s:X	hw:2H
100	3	Medical / Surgical Inpatient Unit Patient Area	1032	DAYR1	Dayroom, Recreation	m:LVT	m:PRB [8]	m:GWB [64] f:P		m:AT	m:Wood t:19 dg:T s:V	hw:4N
100	4	Medical / Surgical Inpatient Unit Support Area	1033	NSTA1	Nurse Station	m:LVT	"m:RB h:4"""	m:GWB [42] f:P			m:AT t:OPEN	hw:N/A
100	4	Medical / Surgical Inpatient Unit Support Area	1034	NSTA3	Alcove, Telemetry Monitoring	m:LVT	"m:RB h:4"""	"m:GWB [54] f:P m:RWC h:4'-0"""			m:AT t:OPEN	hw:N/A
100	4	Medical / Surgical Inpatient Unit Support Area	1035	MEDP1	Medication Room	m:VT	"m:RB h:4"""	m:GWB f:P		m:AT	m:Wood t:1 dg:T ds:CR s:S	hw:SH3D
100	4	Medical / Surgical Inpatient Unit Support Area	1036	NCWD1	Nourishment Station	m:VT	"m:RB h:4"""	m:GWB f:P		m:AT	m:Wood t:19 dg:T s:S	hw:4E SECTION III – ROOM FINISHES, DOOR, AND HARDWARE SCHEDULE -35 Program Guide Room Finishes, Door, & Hardware Schedule PG 18-14 July 2016 ID Rm Cde Space Name Floor Base Wall Wain Ceiling Door HW Nr
100	4	Medical / Surgical Inpatient Unit Support Area	1037	WRCH1	Workroom, Nurse	m:CPT [6] m:VT	"m:RB h:4"""	m:GWB [42] f:P		m:AT	m:Wood t:1 dg:T s:S	hw:4K
100	4	Medical / Surgical Inpatient Unit Support Area	1038	UCCL1	Utility Room, Clean	"m:WSF m:WSF h:4"""		"m:GWB [54] f:SC m:RWC h:4'-0"""		m:AT f:SP	m:Wood t:11 dg:F dr:45 min ds:YES s:V	hw:SH3C
100	4	Medical / Surgical Inpatient Unit Support Area	1039	USCL1	Utility Room, Soiled	"m:WSF m:WSF h:4"""		"m:GWB [54] f:SC m:RWC h:4'-0"""		m:AT [9] f:SP	m:Wood t:11 dg:F dr:45 min ds:YES s:V	hw:SH3C
100	4	Medical / Surgical Inpatient Unit Support Area	1040	LCCL2	Linen Room, Clean	"m:WSF m:WSF h:4"""		"m:GWB [54] f:SC m:RWC h:4'-0"""		m:AT f:SP	m:Wood t:11 dg:F dr:45 min ds:CR s:SS	hw:SH9A
100	4	Medical / Surgical Inpatient Unit Support Area	1041	SRSE1	Storage, Equipment	m:VT	"m:RB h:4"""	"m:GWB [54] f:p m:RWC h:4'-0"""		m:AT	m:Wood t:11 dg:F s:X	hw:4F
100	4	Medical / Surgical Inpatient Unit Support Area	1042	SRGC2	Storage, Medical Gas	m:VT	"m:RB h:4"""	"m:GWB [54] f:p m:RWC h:4'-0"""		m:AT	m:Wood t:11 dg:F dr:45 min s:V	hw:5B
100	4	Medical / Surgical Inpatient Unit Support Area	1043	RCA01	Alcove, Crash Cart	m:LVT	"m:RB h:4"""	"m:GWB [54] f:P m:RWC h:4'-0"""			m:AT t:OPEN	hw:N/A
100	4	Medical / Surgical Inpatient Unit Support Area	1044	XRM01	Alcove, Mobile X-Ray Machine	m:LVT	"m:RB h:4"""	"m:GWB [54] f:P m:RWC h:4'-0"""			m:AT t:OPEN	hw:N/A
100	4	Medical / Surgical Inpatient Unit Support Area	1045	SRLW2	Alcove, Wheelchair / Stretcher	m:LVT	"m:RB h:4"""	"m:GWB [54] f:P m:RWC h:4'-0"""			m:AT t:OPEN	hw:N/A
100	4	Medical / Surgical Inpatient Unit Support Area	1046	JANC1	Housekeeping Aides Closet (HAC)	"m:QT m:QT [7] h:4"""		m:GWB f:SC	"m:CT [7] h:4'-0"""	m:AT f:SP	m:Wood t:1 s:U	hw:5D SECTION III – ROOM FINISHES, DOOR, AND HARDWARE SCHEDULE -36 Program Guide Room Finishes, Door, & Hardware Schedule PG 18-14 July 2016 ID Rm Cde Space Name Floor Base Wall Wain Ceiling Door HW Nr
100	5	Medical / Surgical Inpatient Unit Staff and Administrative Area	1047	OFA09	Office, Nurse Manager	m:CPT [6]	"m:RB h:4"""	m:GWB [64] f:P		m:AT	m:Wood t:1 dg:T s:S	hw:3E
100	5	Medical / Surgical Inpatient Unit Staff and Administrative Area	1048	OFA09	Office, Nurse Supervisor	m:CPT [6]	"m:RB h:4"""	m:GWB [64] f:P		m:AT	m:Wood t:1 dg:T s:S	hw:3E
100	5	Medical / Surgical Inpatient Unit Staff and Administrative Area	1049	OFA07	Workstation, Social Worker	m:CPT [6]	"m:RB h:4"""	m:GWB f:P			m:AT t:OPEN	hw:N/A
100	5	Medical / Surgical Inpatient Unit Staff and Administrative Area	1050	OFA07	Workstation, Dietitian	m:CPT [6]	"m:RB h:4"""	m:GWB f:P			m:AT t:OPEN	hw:N/A
100	5	Medical / Surgical Inpatient Unit Staff and Administrative Area	1051	OFA07	Workstation, Ward Clerk	m:CPT [6]	"m:RB h:4"""	m:GWB f:P			m:AT t:OPEN	hw:N/A
100	5	Medical / Surgical Inpatient Unit Staff and Administrative Area	1052	CRA01	Conference Room	m:CPT [6]	m:PRB [8]	m:GWB [42, 64] f:P [5]		m:AT	m:Wood t:19 dg:T s:S	hw:4J
100	5	Medical / Surgical Inpatient Unit Staff and Administrative Area	1053	RPR01	Copier / Printer Room	m:VT	"m:RB h:4"""	m:GWB [64] f:P		m:AT	m:Wood t:1 dg:T s:S	hw:3E
100	5	Medical / Surgical Inpatient Unit Staff and Administrative Area	1054	SL001	Lounge, Staff	m:SVT	"m:RB h:4"""	m:GWB f:P		m:AT	m:Wood t:1 dg:T s:S	hw:SH-4
100	5	Medical / Surgical Inpatient Unit Staff and Administrative Area	1055	LR001	Locker Room, Staff	"m:PT m:PT h:4"""		m:GWB f:SC		m:AT	m:Wood t:1 s:S	hw:SH-4
100	5	Medical / Surgical Inpatient Unit Staff and Administrative Area	1056	TLTU1	Toilet, Staff	"m:PT m:RES [74] m:PT [7] h:4"" m:RES [7] h:4"""		m:GWB [7, 64] f:P	"m:PT [7] h:4'-0"" m:CT [7] h:4'-0"""	m:AT	m:Wood t:1 s:S	hw:2 [71]
100	6	Common Support Area	1057	DL001	Lounge, Patient Discharge	m:LVT	m:PRB [8]	m:GWB f:P		m:AT	m:Wood t:1 dg:T s:X m:Steel s:X	hw:4K
100	6	Common Support Area	1058	MMRP2	Materials Handling Terminal, Clean	"m:WSF m:WSF h:4"""		"m:GWB [54] f:SC m:RWC h:4'-0"""		m:AT f:SP	m:Wood t:11 dg:F ds:YES s:SS m:Steel t:12 dg:F ds:YES s:SS	hw:SH9A
100	6	Common Support Area	1059	MMRP3	Materials Handling Terminal, Soiled	"m:WSF m:WSF h:4"""		"m:GWB [54] f:SC m:RWC h:4'-0"""		m:AT [9] f:SP	m:Wood t:11 dg:F dr:45 min ds:CR s:SS	hw:SH9A
100	6	Common Support Area	1060	UTLC2	Chute Room, Waste Disposal	"m:RES m:RES [7] h:4"""		"m:GWB f:SC m:SS [47] h:4'-0"""		m:AT [9] f:SP	m:Wood t:11 dg:F dr:45 min s:X m:Steel t:12 dg:F s:X	hw:1J
100	6	Common Support Area	1061	UTLC3	Chute Room, Soiled Linen Disposal	"m:RES m:RES [7] h:4"""		"m:GWB f:SC m:SS [47] h:4'-0"""		m:AT [9] f:SP	m:Wood t:11 dg:F dr:45 min s:X m:Steel t:12 dg:F s:X	hw:1J
100	6	Common Support Area	1062	SRE01	Storage, Multipurpose / Specialty	m:VT	"m:RB h:4"""	"m:GWB [54] f:SC m:RWC h:4'-0"""		m:AT	m:Wood t:11 dg:F s:U	hw:4F
100	6	Common Support Area	1063	SRS01	Storage, Environmental Management Service	m:VT	"m:RB h:4"""	"m:GWB [54] f:P m:RWC h:4'-0"""		m:AT	m:Wood t:11 dg:F s:V m:Steel t:12 dg:F s:V	hw:5B
100	6	Common Support Area	1064	UTR01	Recycling Room	m:VT	"m:RB h:4"""	"m:GWB f:P m:RWC h:4'-0"""		m:AT	m:Wood t:9 dg:T s:S	hw:SH3C SECTION III – ROOM FINISHES, DOOR, AND HARDWARE SCHEDULE -38 Program Guide Room Finishes, Door, & Hardware Schedule PG 18-14 July 2016 ID Rm Cde Space Name Floor Base Wall Wain Ceiling Door HW Nr
100	7	Common Staff and Administrative Area	1065	OFA07	Workstation, Physician	m:CPT [6]	"m:RB h:4"""	m:GWB f:P			m:AT t:OPEN	hw:N/A
100	7	Common Staff and Administrative Area	1066	OFA07	Workstation, Physician Assistant	m:CPT [6]	"m:RB h:4"""	m:GWB f:P			m:AT t:OPEN	hw:N/A
100	7	Common Staff and Administrative Area	1067	OFA07	Workstation, Nurse Clinician	m:CPT [6]	"m:RB h:4"""	m:GWB f:P			m:AT t:OPEN	hw:N/A
100	7	Common Staff and Administrative Area	1068	OFA07	Workstation, Consultant	m:CPT [6]	"m:RB h:4"""	m:GWB f:P			m:AT t:OPEN	hw:N/A
100	7	Common Staff and Administrative Area	1069	OFA07	Workstation, Clinical Researcher	m:CPT [6]	"m:RB h:4"""	m:GWB f:P			m:AT t:OPEN	hw:N/A
100	7	Common Staff and Administrative Area	1070	OFA07	Workstation, Clinical Pharmacist	m:CPT [6]	"m:RB h:4"""	m:GWB f:P			m:AT t:OPEN	hw:N/A
100	7	Common Staff and Administrative Area	1071	OFA07	Workstation, Administration	m:CPT [6]	"m:RB h:4"""	m:GWB f:P			m:AT t:OPEN	hw:N/A
100	8	Education Area	1072	OFA09	Office, Residency Program Director	m:CPT [6]	"m:RB h:4"""	m:GWB [64] f:P		m:AT	m:Wood t:19 dg:T s:S	hw:3G
100	8	Education Area	1073	OFA07	Workstation, Intern / Resident / Fellow	m:CPT [6]	"m:RB h:4"""	m:GWB f:P			m:AT t:OPEN	hw:N/A
100	8	Education Area	1074	OFA07	Workstation, Patient Care Instructor	m:CPT [6]	"m:RB h:4"""	m:GWB f:P			m:AT t:OPEN	hw:N/A SECTION III – ROOM FINISHES, DOOR, AND HARDWARE SCHEDULE -39 61 Program Guide Room Finishes, Door, & Hardware Schedule PG 18-14 July 2016 ID Rm Cde Space Name Floor Base Wall Wain Ceiling Door HW Nr
100	8	Education Area	1075	CLR01	Conference Room / Classroom	m:CPT [6] m:LVT	"m:RB h:4"""	m:GWB [42, 64] f:P		m:AT	m:Wood t:19 dg:T s:U	hw:4J SECTION III – ROOM FINISHES, DOOR, AND HARDWARE SCHEDULE -40 Program Guide Room Finishes, Door, & Hardware Schedule PG 18-14 July 2016 ID Rm Cde Space Name Floor Base Wall Wain Ceiling Door HW Nr
102	1	Intensive Care Nursint Unit Calculation	1076	CALC1	Number of Intensie Care Nursing Units							
102	2	Intensive Care Nursing Unit Reception Area	1077	WRC01	Waiting	m:CPT [6] m:LVT	m:PRB [8]	m:GWB [5] f:P		m:AT	m:Wood t:1 dg:T s:S	hw:4K
102	2	Intensive Care Nursing Unit Reception Area	1078	OFDC2	Consult Room	m:CPT [6]	m:PRB [8]	m:GWB [5, 64] f:P		m:AT	m:Wood t:19 dg:T s:U	hw:3G
102	2	Intensive Care Nursing Unit Reception Area	1079	TLTU1	Toilet, Public	"m:PT m:RES [74] m:PT [7] h:4"" m:RES [7] h:4"""		m:GWB [7, 64] f:P	"m:PT [7] h:4'-0"" m:CT [7] h:4'-0"""	m:AT	m:Wood t:19 s:S	hw:2G [71]
102	2	Intensive Care Nursing Unit Reception Area	1080	TLTF3	Toilet, Family	"m:PT m:RES [74] m:PT [7] h:4"" m:RES [7] h:4"""		m:GWB [7, 64] f:P	"m:PT [7] h:4'-0"" m:CT [7] h:4'-0"""	m:AT	m:Wood t:19 s:S	hw:2G [71]
102	2	Intensive Care Nursing Unit Reception Area	1081	WRF01	Lounge, Family	m:LVT	m:PRB [8]	m:GWB [5] f:P		m:AT	m:Wood t:1 dg:T s:U	hw:4K
102	2	Intensive Care Nursing Unit Reception Area	1082	NCWD1	Pantry, Family	m:LVT	"m:RB h:4"""	m:GWB f:P		m:AT	m:Wood t:19 s:S	hw:4K
102	2	Intensive Care Nursing Unit Reception Area	1083	CLSC1	Patient Education, Resource Kiosk	m:CPT [6] m:LVT	m:PRB [8]	m:GWB f:P			m:AT t:OPEN	hw:N/A SECTION III – ROOM FINISHES, DOOR, AND HARDWARE SCHEDULE -41 Program Guide Room Finishes, Door, & Hardware Schedule PG 18-14 July 2016 ID Rm Cde Space Name Floor Base Wall Wain Ceiling Door HW Nr
102	3	Intensive Care Nursing Unit Patient Area	1084	BRIC1	Patient Room, Intensive Care	m:LVT	"m:RB h:4"""	m:GWB [64] f:SC		m:AT [9] f:SC	m:N/A t:OPEN dg:N/A s:N/A m:Wood t:3 dg:T s:X	hw:N/A
102	3	Intensive Care Nursing Unit Patient Area	1085	TLTU1	Toilet, Intensive Care Patient [18]	"m:PT m:RES [74] m:PT [7] h:4"" m:RES [7] h:4"""		m:GWB [7, 44, 64] f:SC	"m:PT [7] h:4'-0"" m:CT [7] h:4'-0"" m:S [7, 44] m:GWB f:SC"		m:Wood t:1 s:U	hw:2H [48]
102	3	Intensive Care Nursing Unit Patient Area	1086	BRII1	Patient Bedroom, Airborne Infection Isolation [18]	"m:WSF m:WSF h:4"""		m:GWB [18, 64] f:SC m:GWB f:SC		m:AT [9] f:SP	m:Wood t:3 [12] dg:T s:X	hw:4P
102	3	Intensive Care Nursing Unit Patient Area	1087	BRAR1	Anteroom, Airborne Infection Isolation [18]	"m:WSF m:WSF h:4"""		m:GWB [18, 64] f:SC m:GWB f:SC		m:AT [9] f:SP	m:Wood t:1 [12] dg:T s:X	hw:1K
102	3	Intensive Care Nursing Unit Patient Area	1088	BRII2	Patient Bedroom, Protective Environment Isolation [18]	"m:WSF m:WSF h:4"""		m:GWB [18, 64] f:SC m:GWB f:SC		m:AT [9] f:SP	m:Wood t:3 [12] dg:T s:X	hw:4P
102	3	Intensive Care Nursing Unit Patient Area	1089	BRAR2	Anteroom, Protective Environment Isolation [18]	"m:WSF m:WSF h:4"""		m:GWB [18, 64] f:SC m:GWB f:SC		m:AT [9] f:SP	m:Wood t:1 [12] dg:T s:X	hw:1K SECTION III – ROOM FINISHES, DOOR, AND HARDWARE SCHEDULE -42 Program Guide Room Finishes, Door, & Hardware Schedule PG 18-14 July 2016 ID Rm Cde Space Name Floor Base Wall Wain Ceiling Door HW Nr
102	3	Intensive Care Nursing Unit Patient Area	1090	TLTS2	Toilet / Shower, Isolation Patient [18]	"m:PT m:RES [74] m:PT [7] h:4"" m:RES [7] h:4"""		m:GWB [7, 18, 64] f:SC	"m:PT [7] h:4'-0"" m:CT [7] h:4'-0"" m:S [7, 44] m:GWB f:SC"		m:Wood t:1 s:S	hw:2H
102	3	Intensive Care Nursing Unit Patient Area	1091	OFDC2	Consult Room	m:CPT [6]	m:PRB [8]	m:GWB [5, 64] f:P		m:AT	m:Wood t:19 dg:T s:U	hw:3G
102	4	Intensive Care Nursing Unit Support Area	1092	NSTA1	Nurse Station	m:LVT	"m:RB h:4"""	m:GWB [42, 64] f:P			m:AT t:OPEN	hw:N/A
102	4	Intensive Care Nursing Unit Support Area	1093	NSTA3	Alcove, Nurse Observation	m:LVT	"m:RB h:4"""	m:GWB f:P			m:AT t:OPEN	hw:N/A
102	4	Intensive Care Nursing Unit Support Area	1094	MEDP1	Medication Room	m:VT	"m:RB h:4"""	m:GWB f:P		m:AT	m:Wood t:1 dg:T ds:CR s:S	hw:SH3D
102	4	Intensive Care Nursing Unit Support Area	1095	NCWD1	Nourishment Station	m:VT	"m:RB h:4"""	m:GWB f:P		m:AT	m:Wood t:19 dg:T s:S	hw:4E
102	4	Intensive Care Nursing Unit Support Area	1096	WRCH1	Workroom, Nurse	m:CPT [6] m:VT	"m:RB h:4"""	m:GWB [42] f:P		m:AT	m:Wood t:1 dg:T s:S	hw:4K
102	4	Intensive Care Nursing Unit Support Area	1097	UCCL1	Utility Room, Clean	"m:WSF m:WSF h:4"""		"m:GWB [54] f:SC m:RWC h:4'-0"""		m:AT f:SP	m:Wood t:11 dg:F dr:45 min ds:YES s:V	hw:SH3C SECTION III – ROOM FINISHES, DOOR, AND HARDWARE SCHEDULE -43 Program Guide Room Finishes, Door, & Hardware Schedule PG 18-14 July 2016 ID Rm Cde Space Name Floor Base Wall Wain Ceiling Door HW Nr
102	4	Intensive Care Nursing Unit Support Area	1098	USCL1	Utility Room, Soiled	"m:WSF m:WSF h:4"""		"m:GWB [54] f:SC m:RWC h:4'-0"""		m:AT [9] f:SP	m:Wood t:11 dg:F dr:45 min ds:YES s:V	hw:SH3C
102	4	Intensive Care Nursing Unit Support Area	1099	LCCL2	Linen Room, Clean	"m:WSF m:WSF h:4"""		"m:GWB [54] f:SC m:RWC h:4'-0"""		m:AT f:SP	m:Wood t:11 dg:F dr:45 min ds:YES s:SS	hw:SH9A
102	4	Intensive Care Nursing Unit Support Area	1100	SRSE1	Storage, ICU Equipment	m:VT	"m:RB h:4"""	"m:GWB [54] f:SC m:RWC h:4'-0"""		m:AT	m:Wood t:11 dg:F s:X	hw:4F
102	4	Intensive Care Nursing Unit Support Area	1101	SRGC2	Storage, Medical Gas	m:VT	"m:RB h:4"""	"m:GWB [54] f:SC m:RWC h:4'-0"""		m:AT	m:Wood t:11 dg:F dr:45 min s:V	hw:5B
102	4	Intensive Care Nursing Unit Support Area	1102	RCA01	Alcove, Crash Cart	m:LVT	"m:RB h:4"""	"m:GWB [54] f:P m:RWC h:4'-0"""			m:AT t:OPEN	hw:N/A
102	4	Intensive Care Nursing Unit Support Area	1103	XRM01	Alcove, Mobile X-Ray Machine	m:LVT	"m:RB h:4"""	"m:GWB [54] f:P m:RWC h:4'-0"""			m:AT t:OPEN	hw:N/A
102	4	Intensive Care Nursing Unit Support Area	1104	SRLW1	Alcove, Wheelchair / Stretcher	m:LVT	"m:RB h:4"""	"m:GWB [54] f:P m:RWC h:4'-0"""			m:AT t:OPEN	hw:N/A
102	4	Intensive Care Nursing Unit Support Area	1105	JANC1	Housekeeping Aides Closet (HAC)	"m:QT m:QT [7] h:4"""		m:GWB f:SC	"m:CT [7] h:4'-0"""	m:AT f:SP	m:Wood t:1 s:U	hw:5D
102	5	Intensive Care Nursing Unit Staff and Administrative Area	1106	DUTY1	On-Call Room	m:CPT [6]	"m:RB h:4"""	m:GWB [64] f:P		m:AT	m:Wood t:1 s:S	hw:3 SECTION III – ROOM FINISHES, DOOR, AND HARDWARE SCHEDULE -44 Program Guide Room Finishes, Door, & Hardware Schedule PG 18-14 July 2016 ID Rm Cde Space Name Floor Base Wall Wain Ceiling Door HW Nr
102	5	Intensive Care Nursing Unit Staff and Administrative Area	1107	TLTS1	Toilet / Shower, On-Call Room	"m:PT m:RES [74] m:PT [7] h:4"" m:RES [7] h:4"""		m:GWB [7, 64] f:SC	"m:PT [7] h:4'-0"" m:CT [7] h:4'-0"" m:S [7, 44] m:GWB f:SC"		m:Wood t:1 s:U	hw:2H
102	5	Intensive Care Nursing Unit Staff and Administrative Area	1108	OFA09	Office, Nurse Manager [2]	m:CPT [6]	"m:RB h:4"""	m:GWB [64] f:P		m:AT	m:Wood t:1 dg:T s:S	hw:3E
102	5	Intensive Care Nursing Unit Staff and Administrative Area	1109	OFA09	Office, Nurse Supervisor [2]	m:CPT [6]	"m:RB h:4"""	m:GWB [64] f:P		m:AT	m:Wood t:1 dg:T s:S	hw:3E
102	5	Intensive Care Nursing Unit Staff and Administrative Area	1110	OFA07	Workstation, Social Worker	m:CPT [6]	"m:RB h:4"""	m:GWB f:P			m:AT t:OPEN	hw:N/A
102	5	Intensive Care Nursing Unit Staff and Administrative Area	1111	OFA07	Workstation, Dietitian	m:CPT [6]	"m:RB h:4"""	m:GWB f:P			m:AT t:OPEN	hw:N/A
